investor_id,avg_days_between_investments,is_at_risk
INV000577,43.4,True
INV000578,45.8,True
INV000580,49.2,True
INV000581,42.7,True
INV000583,51.8,True
INV000584,63.9,True
INV000585,61.1,True
INV000586,44.5,True
INV000587,33.8,False
INV000589,47.3,True
INV000591,55.3,True
INV000593,43.8,True
INV000595,53.4,True
INV000596,43.3,True
INV000597,63.3,True
INV000598,93.6,True
INV000599,54.3,True
INV000600,88.8,True
INV000601,32.7,False
INV000602,45.8,True
INV000604,42.6,True
INV000606,38.3,True
INV000607,50.2,True
INV000608,83.5,True
INV000609,26.1,False
INV000611,69.2,True
INV000612,44.8,True
INV000614,26.0,False
INV000615,46.1,True
INV000616,61.5,True
INV000619,26.0,False
INV000621,47.1,True
INV000623,48.4,True
INV000624,43.8,True
INV000625,41.5,True
INV000626,73.4,True
INV000629,75.6,True
INV000630,54.2,True
INV000631,41.4,True
INV000633,86.2,True
INV000634,41.8,True
INV000635,53.6,True
INV000636,54.4,True
INV000637,64.2,True
INV000638,71.0,True
INV000639,50.8,True
INV000641,44.9,True
INV000642,50.2,True
INV000643,51.5,True
INV000644,69.4,True
INV000645,30.0,False
INV000646,37.6,True
INV000649,52.2,True
INV000651,70.9,True
INV000652,43.4,True
INV000654,91.4,True
INV000656,62.3,True
INV000657,50.3,True
INV000658,47.4,True
INV000660,42.0,True
INV000661,60.4,True
INV000662,46.3,True
INV000663,94.4,True
INV000664,46.7,True
INV000665,29.6,False
INV000666,62.2,True
INV000667,43.5,True
INV000671,38.7,True
INV000673,92.8,True
INV000675,36.6,True
INV000676,32.1,False
INV000678,38.0,True
INV000682,96.6,True
INV000683,50.6,True
INV000689,46.7,True
INV000690,45.9,True
INV000691,52.9,True
INV000693,44.3,True
INV000694,82.5,True
INV000695,63.3,True
INV000698,38.0,True
INV000699,36.4,True
INV000701,50.2,True
INV000703,84.0,True
INV000704,50.6,True
INV000706,54.5,True
INV000707,45.0,True
INV000708,66.0,True
INV000709,39.5,True
INV000710,73.8,True
INV000711,60.0,True
INV000714,26.9,False
INV000715,55.3,True
INV000717,77.7,True
INV000718,38.6,True
INV000719,40.7,True
INV000720,70.7,True
INV000721,78.0,True
INV000722,52.1,True
INV000723,86.6,True
INV000724,50.8,True
INV000725,58.0,True
INV000726,69.5,True
INV000728,39.1,True
INV000732,42.3,True
INV000733,74.5,True
INV000734,46.3,True
INV000735,61.4,True
INV000736,44.3,True
INV000737,66.1,True
INV000738,49.6,True
INV000739,60.7,True
INV000741,65.7,True
INV000742,83.0,True
INV000744,28.2,False
INV000745,88.8,True
INV000746,60.5,True
INV000747,45.7,True
INV000749,40.5,True
INV000750,35.4,True
INV000751,42.4,True
INV000752,78.7,True
INV000753,50.7,True
INV000754,44.7,True
INV000755,66.2,True
INV000757,83.4,True
INV000758,50.4,True
INV000759,49.8,True
INV000761,49.4,True
INV000764,57.6,True
INV000765,43.0,True
INV000767,94.2,True
INV000768,38.2,True
INV000769,76.7,True
INV000772,36.4,True
INV000774,55.2,True
INV000776,42.1,True
INV000777,47.1,True
INV000778,48.1,True
INV000779,40.4,True
INV000782,35.4,True
INV000783,44.4,True
INV000784,62.4,True
INV000785,38.9,True
INV000786,57.0,True
INV000788,52.5,True
INV000789,44.3,True
INV000791,56.1,True
INV000793,48.4,True
INV000799,80.8,True
INV000803,57.9,True
INV000804,92.2,True
INV000806,34.1,False
INV000810,38.0,True
INV000811,58.2,True
INV000813,62.1,True
INV000814,78.3,True
INV000819,48.0,True
INV000821,44.5,True
INV000822,41.6,True
INV000823,35.4,True
INV000826,74.5,True
INV000827,45.3,True
INV000829,58.9,True
INV000830,44.4,True
INV000831,54.0,True
INV000833,56.4,True
INV000836,70.7,True
INV000840,62.9,True
INV000841,71.3,True
INV000843,35.8,True
INV000844,44.1,True
INV000845,46.5,True
INV000847,26.9,False
INV000849,47.2,True
INV000850,28.6,False
INV000851,53.4,True
INV000853,40.4,True
INV000854,54.4,True
INV000856,55.0,True
INV000857,52.1,True
INV000858,35.9,True
INV000860,47.4,True
INV000861,54.9,True
INV000862,59.6,True
INV000864,42.0,True
INV000865,40.4,True
INV000869,37.2,True
INV000870,70.4,True
INV000873,49.0,True
INV000874,45.2,True
INV000876,37.0,True
INV000877,37.1,True
INV000880,84.8,True
INV000881,37.7,True
INV000885,87.0,True
INV000887,40.6,True
INV000888,60.2,True
INV000890,43.3,True
INV000891,55.0,True
INV000892,77.0,True
INV000893,45.4,True
INV000894,43.5,True
INV000895,63.6,True
INV000901,45.2,True
INV000902,43.1,True
INV000906,36.8,True
INV000907,40.5,True
INV000909,82.8,True
INV000912,41.5,True
INV000913,76.3,True
INV000914,55.5,True
INV000915,78.2,True
INV000919,58.5,True
INV000920,47.2,True
INV000921,76.2,True
INV000925,59.6,True
INV000926,57.1,True
INV000927,25.5,False
INV000929,39.7,True
INV000930,23.9,False
INV000931,49.3,True
INV000933,55.4,True
INV000935,24.7,False
INV000939,45.0,True
INV000941,95.0,True
INV000942,39.6,True
INV000944,68.4,True
INV000946,60.0,True
INV000947,64.3,True
INV000949,40.5,True
INV000950,48.6,True
INV000954,56.3,True
INV000957,52.6,True
INV000958,90.6,True
INV000959,45.1,True
INV000960,60.9,True
INV000962,57.6,True
INV000966,39.2,True
INV000968,48.6,True
INV000969,48.3,True
INV000970,45.4,True
INV000971,36.0,True
INV000972,38.1,True
INV000974,63.0,True
INV000977,39.9,True
INV000978,46.8,True
INV000979,59.4,True
INV000980,36.8,True
INV000981,30.4,False
INV000984,44.5,True
INV000985,73.2,True
INV000986,45.6,True
INV000988,66.7,True
INV000989,83.0,True
INV000992,83.2,True
INV000994,40.2,True
INV000995,21.9,False
INV000997,55.1,True
INV000999,47.1,True
INV001001,40.5,True
INV001002,46.4,True
INV001005,46.8,True
INV001006,93.0,True
INV001008,48.6,True
INV001009,42.3,True
INV001011,99.4,True
INV001012,32.4,False
INV001013,53.8,True
INV001014,77.7,True
INV001015,36.0,True
INV001017,68.5,True
INV001019,35.9,True
INV001020,53.8,True
INV001021,45.8,True
INV001023,46.1,True
INV001024,51.3,True
INV001025,32.6,False
INV001026,47.8,True
INV001027,70.6,True
INV001029,46.9,True
INV001031,48.2,True
INV001034,69.2,True
INV001036,54.7,True
INV001037,42.6,True
INV001039,47.9,True
INV001041,71.1,True
INV001042,49.5,True
INV001043,71.0,True
INV001045,71.1,True
INV001047,55.7,True
INV001048,35.3,True
INV001049,69.7,True
INV001051,37.9,True
INV001053,51.7,True
INV001055,51.8,True
INV001058,44.8,True
INV001060,38.8,True
INV001061,40.9,True
INV001062,52.5,True
INV001063,30.7,False
INV001064,43.3,True
INV001067,41.7,True
INV001068,99.2,True
INV001069,35.2,True
INV001070,44.1,True
INV001074,44.7,True
INV001075,51.0,True
INV001077,46.8,True
INV001079,46.1,True
INV001080,52.1,True
INV001081,79.0,True
INV001083,43.2,True
INV001087,63.5,True
INV001088,74.3,True
INV001091,71.8,True
INV001092,42.2,True
INV001093,57.9,True
INV001094,77.5,True
INV001096,51.9,True
INV001099,31.9,False
INV001101,85.4,True
INV001102,50.7,True
INV001103,47.6,True
INV001109,90.4,True
INV001111,96.6,True
INV001112,40.0,True
INV001113,48.5,True
INV001115,45.8,True
INV001116,42.3,True
INV001117,54.0,True
INV001118,49.0,True
INV001123,56.8,True
INV001124,79.7,True
INV001128,44.2,True
INV001130,46.6,True
INV001131,53.9,True
INV001133,41.6,True
INV001137,34.3,False
INV001138,50.5,True
INV001140,56.6,True
INV001141,69.7,True
INV001142,49.5,True
INV001144,64.4,True
INV001152,46.6,True
INV001155,69.1,True
INV001156,56.9,True
INV001157,33.6,False
INV001160,52.8,True
INV001161,57.6,True
INV001163,43.5,True
INV001165,57.5,True
INV001166,54.0,True
INV001167,96.2,True
INV001168,76.2,True
INV001170,49.1,True
INV001173,55.8,True
INV001174,58.8,True
INV001175,78.7,True
INV001178,43.5,True
INV001180,61.9,True
INV001181,59.0,True
INV001182,71.0,True
INV001183,55.8,True
INV001185,50.1,True
INV001186,44.6,True
INV001189,46.6,True
INV001190,80.8,True
INV001192,81.4,True
INV001195,34.3,False
INV001196,92.2,True
INV001197,49.9,True
INV001198,48.4,True
INV001202,50.8,True
INV001204,75.8,True
INV001206,38.0,True
INV001207,50.8,True
INV001208,37.3,True
INV001210,26.8,False
INV001212,45.1,True
INV001213,53.9,True
INV001215,97.0,True
INV001217,39.1,True
INV001218,49.2,True
INV001219,36.9,True
INV001220,57.9,True
INV001221,64.6,True
INV001222,68.6,True
INV001223,42.5,True
INV001224,40.6,True
INV001225,53.1,True
INV001227,39.7,True
INV001228,43.2,True
INV001232,87.8,True
INV001233,55.5,True
INV001234,40.7,True
INV001235,47.2,True
INV001236,73.3,True
INV001237,81.7,True
INV001238,37.4,True
INV001241,33.0,False
INV001242,47.3,True
INV001244,34.2,False
INV001246,80.0,True
INV001247,44.3,True
INV001249,71.6,True
INV001250,82.2,True
INV001251,54.2,True
INV001255,70.8,True
INV001257,52.4,True
INV001259,43.8,True
INV001260,68.3,True
INV001261,55.5,True
INV001262,50.9,True
INV001264,44.9,True
INV001265,57.5,True
INV001269,56.4,True
INV001274,45.4,True
INV001275,39.0,True
INV001280,83.6,True
INV001281,88.8,True
INV001282,54.9,True
INV001284,50.6,True
INV001287,57.6,True
INV001288,39.1,True
INV001291,63.5,True
INV001295,45.1,True
INV001298,43.1,True
INV001299,40.4,True
INV001300,75.0,True
INV001304,44.4,True
INV001308,41.6,True
INV001310,58.0,True
INV001312,43.7,True
INV001314,50.4,True
INV001315,48.9,True
INV001316,51.3,True
INV001317,42.4,True
INV001318,41.6,True
INV001319,33.6,False
INV001320,45.2,True
INV001321,75.8,True
INV001322,80.8,True
INV001325,82.5,True
INV001326,44.2,True
INV001329,46.9,True
INV001331,52.8,True
INV001332,60.0,True
INV001333,45.5,True
INV001334,50.3,True
INV001336,57.6,True
INV001342,54.2,True
INV001343,56.0,True
INV001345,65.0,True
INV001346,76.5,True
INV001348,40.9,True
INV001350,71.1,True
INV001351,40.9,True
INV001352,64.8,True
INV001353,57.3,True
INV001354,53.1,True
INV001355,40.2,True
INV001356,39.6,True
INV001359,54.4,True
INV001361,37.9,True
INV001363,50.7,True
INV001366,54.4,True
INV001367,82.5,True
INV001369,50.6,True
INV001370,81.0,True
INV001374,55.8,True
INV001375,44.9,True
INV001376,78.7,True
INV001377,65.1,True
INV001378,79.2,True
INV001379,48.3,True
INV001383,44.0,True
INV001384,43.6,True
INV001386,51.8,True
INV001387,57.2,True
INV001388,70.6,True
INV001389,87.0,True
INV001390,82.0,True
INV001391,68.7,True
INV001392,52.0,True
INV001394,55.6,True
INV001395,56.0,True
INV001397,48.1,True
INV001398,45.5,True
INV001399,62.3,True
INV001400,38.4,True
INV001401,38.1,True
INV001402,61.6,True
INV001406,39.0,True
INV001407,39.6,True
INV001409,32.3,False
INV001410,61.0,True
INV001411,65.1,True
INV001413,56.0,True
INV001415,53.0,True
INV001418,57.6,True
INV001419,61.3,True
INV001421,63.1,True
INV001423,34.0,False
INV001424,93.0,True
INV001428,44.2,True
INV001432,59.5,True
INV001433,99.2,True
INV001434,60.4,True
INV001439,56.3,True
INV001442,41.5,True
INV001443,57.2,True
INV001448,47.8,True
INV001449,48.5,True
INV001454,62.6,True
INV001455,41.2,True
INV001456,52.4,True
INV001457,38.1,True
INV001458,32.6,False
INV001460,33.4,False
INV001462,55.0,True
INV001465,52.0,True
INV001466,26.7,False
INV001467,54.3,True
INV001470,72.3,True
INV001472,49.4,True
INV001473,81.3,True
INV001478,79.7,True
INV001480,47.8,True
INV001481,49.8,True
INV001482,57.6,True
INV001483,84.6,True
INV001485,48.9,True
INV001491,70.6,True
INV001496,40.1,True
INV001497,45.8,True
INV001498,68.8,True
INV001499,41.8,True
INV001500,63.9,True
INV001501,52.8,True
INV001503,44.8,True
INV001504,48.2,True
INV001506,78.2,True
INV001507,39.2,True
INV001508,55.9,True
INV001510,44.6,True
INV001512,47.7,True
INV001513,60.6,True
INV001514,38.9,True
INV001516,56.6,True
INV001518,46.2,True
INV001521,47.2,True
INV001524,63.5,True
INV001525,60.8,True
INV001526,29.3,False
INV001528,48.0,True
INV001530,48.5,True
INV001532,47.4,True
INV001534,64.4,True
INV001536,41.4,True
INV001538,65.5,True
INV001543,56.2,True
INV001544,42.6,True
INV001545,46.4,True
INV001547,43.8,True
INV001548,57.6,True
INV001549,50.1,True
INV001550,47.4,True
INV001551,55.9,True
INV001553,44.9,True
INV001555,91.0,True
INV001557,80.3,True
INV001558,38.7,True
INV001560,98.2,True
INV001561,55.9,True
INV001562,39.8,True
INV001564,39.2,True
INV001567,50.2,True
INV001569,69.5,True
INV001570,59.9,True
INV001573,42.1,True
INV001574,42.7,True
INV001575,52.6,True
INV001576,75.3,True
INV001579,41.6,True
INV001580,40.6,True
INV001583,56.1,True
INV001585,35.4,True
INV001587,40.1,True
INV001588,69.5,True
INV001591,32.0,False
INV001592,19.0,False
INV001594,76.8,True
INV001595,69.3,True
INV001596,76.4,True
INV001597,43.4,True
INV001598,50.5,True
INV001599,44.5,True
INV001602,42.6,True
INV001603,33.3,False
INV001605,49.9,True
INV001606,58.0,True
INV001608,36.0,True
INV001609,52.8,True
INV001611,42.7,True
INV001612,50.2,True
INV001615,44.0,True
INV001616,38.5,True
INV001618,59.7,True
INV001619,70.0,True
INV001620,43.0,True
INV001623,46.9,True
INV001624,34.0,False
INV001625,39.6,True
INV001627,70.8,True
INV001628,32.9,False
INV001629,44.4,True
INV001631,45.6,True
INV001635,73.0,True
INV001636,39.1,True
INV001637,90.4,True
INV001639,69.4,True
INV001640,28.0,False
INV001641,54.6,True
INV001643,49.3,True
INV001644,41.0,True
INV001645,54.3,True
INV001648,58.6,True
INV001649,42.3,True
INV001650,49.2,True
INV001651,47.2,True
INV001652,46.8,True
INV001653,55.1,True
INV001654,38.2,True
INV001656,51.3,True
INV001658,42.2,True
INV001660,78.8,True
INV001662,41.4,True
INV001663,46.6,True
INV001666,58.2,True
INV001670,36.5,True
INV001671,62.0,True
INV001672,24.7,False
INV001673,49.3,True
INV001674,76.8,True
INV001679,76.5,True
INV001680,42.8,True
INV001683,62.1,True
INV001689,45.5,True
INV001690,60.9,True
INV001691,57.8,True
INV001692,44.1,True
INV001694,51.4,True
INV001695,21.4,False
INV001696,87.8,True
INV001697,45.5,True
INV001699,59.4,True
INV001701,45.7,True
INV001705,47.6,True
INV001706,43.2,True
INV001709,37.0,True
INV001711,65.8,True
INV001712,47.6,True
INV001713,45.9,True
INV001715,68.3,True
INV001718,52.5,True
INV001720,68.4,True
INV001721,81.7,True
INV001723,83.7,True
INV001724,52.2,True
INV001725,44.6,True
INV001728,35.4,True
INV001732,92.2,True
INV001735,79.0,True
INV001736,65.0,True
INV001737,42.6,True
INV001738,40.1,True
INV001739,46.7,True
INV001740,48.8,True
INV001741,45.2,True
INV001742,52.4,True
INV001743,44.0,True
INV001744,42.8,True
INV001746,32.1,False
INV001747,68.9,True
INV001748,39.1,True
INV001751,39.1,True
INV001752,37.8,True
INV001753,42.8,True
INV001757,35.4,True
INV001758,36.2,True
INV001759,40.5,True
INV001762,47.6,True
INV001763,59.7,True
INV001765,67.6,True
INV001769,70.0,True
INV001770,71.1,True
INV001771,64.1,True
INV001772,52.8,True
INV001775,29.1,False
INV001777,46.1,True
INV001778,40.5,True
INV001780,54.8,True
INV001782,52.0,True
INV001783,58.9,True
INV001784,39.8,True
INV001787,60.0,True
INV001790,44.6,True
INV001792,58.4,True
INV001794,45.6,True
INV001796,73.5,True
INV001797,47.8,True
INV001798,54.0,True
INV001799,73.2,True
INV001800,42.0,True
INV001801,68.6,True
INV001802,49.0,True
INV001803,36.9,True
INV001804,42.9,True
INV001805,62.2,True
INV001806,47.7,True
INV001809,79.7,True
INV001810,45.3,True
INV001811,44.8,True
INV001813,63.0,True
INV001814,44.9,True
INV001815,60.3,True
INV001816,41.5,True
INV001820,40.5,True
INV001822,23.3,False
INV001823,37.0,True
INV001824,91.2,True
INV001825,46.6,True
INV001826,33.1,False
INV001827,95.0,True
INV001828,44.4,True
INV001829,67.5,True
INV001831,45.5,True
INV001832,60.0,True
INV001833,41.8,True
INV001834,62.0,True
INV001835,78.0,True
INV001836,37.2,True
INV001837,42.3,True
INV001841,35.1,True
INV001842,47.4,True
INV001843,50.6,True
INV001844,51.6,True
INV001848,60.1,True
INV001849,84.8,True
INV001851,56.1,True
INV001852,71.7,True
INV001853,30.2,False
INV001856,53.6,True
INV001857,45.1,True
INV001858,47.3,True
INV001859,82.5,True
INV001861,39.8,True
INV001865,47.6,True
INV001866,46.1,True
INV001867,89.6,True
INV001868,91.6,True
INV001870,65.1,True
INV001871,42.6,True
INV001874,52.3,True
INV001875,73.0,True
INV001877,54.8,True
INV001879,58.5,True
INV001880,49.1,True
INV001881,74.6,True
INV001883,70.9,True
INV001885,45.1,True
INV001886,45.1,True
INV001887,78.0,True
INV001888,65.4,True
INV001890,85.5,True
INV001891,60.2,True
INV001893,54.6,True
INV001895,61.6,True
INV001896,47.0,True
INV001897,52.8,True
INV001899,69.3,True
INV001903,38.2,True
INV001909,48.3,True
INV001912,45.4,True
INV001913,64.6,True
INV001914,42.2,True
INV001916,45.9,True
INV001917,40.4,True
INV001920,30.0,False
INV001921,43.6,True
INV001922,68.7,True
INV001923,44.0,True
INV001924,60.9,True
INV001926,46.4,True
INV001927,42.2,True
INV001928,83.8,True
INV001929,45.1,True
INV001930,97.0,True
INV001933,61.7,True
INV001937,48.3,True
INV001938,32.9,False
INV001940,56.1,True
INV001943,62.0,True
INV001944,45.2,True
INV001945,46.6,True
INV001946,56.6,True
INV001950,44.1,True
INV001951,47.1,True
INV001954,54.2,True
INV001955,54.3,True
INV001956,79.3,True
INV001959,53.8,True
INV001961,65.9,True
INV001962,70.6,True
INV001967,25.9,False
INV001969,45.1,True
INV001970,67.7,True
INV001971,38.3,True
INV001972,35.0,False
INV001974,35.7,True
INV001975,78.2,True
INV001977,56.8,True
INV001978,76.2,True
INV001979,42.0,True
INV001982,61.3,True
INV001983,68.7,True
INV001985,70.8,True
INV001986,38.2,True
INV001987,40.2,True
INV001990,40.6,True
INV001993,44.7,True
INV001995,43.8,True
INV001997,59.2,True
INV001998,42.9,True
INV001999,29.9,False
INV002000,53.3,True
INV002001,53.0,True
INV002003,41.3,True
INV002005,54.5,True
INV002006,52.6,True
INV002008,39.2,True
INV002010,69.3,True
INV002011,59.8,True
INV002012,69.2,True
INV002013,57.6,True
INV002017,49.2,True
INV002018,44.1,True
INV002019,65.0,True
INV002021,46.2,True
INV002022,52.0,True
INV002025,55.8,True
INV002026,85.4,True
INV002030,71.7,True
INV002033,38.9,True
INV002034,46.0,True
INV002035,39.0,True
INV002036,28.0,False
INV002037,37.7,True
INV002038,52.5,True
INV002039,46.1,True
INV002040,50.8,True
INV002041,52.8,True
INV002042,46.7,True
INV002044,53.7,True
INV002045,60.0,True
INV002049,66.2,True
INV002051,43.7,True
INV002052,33.1,False
INV002055,69.0,True
INV002056,80.7,True
INV002060,63.8,True
INV002061,80.5,True
INV002066,81.8,True
INV002067,53.4,True
INV002069,42.8,True
INV002070,48.8,True
INV002074,55.4,True
INV002075,66.2,True
INV002077,76.2,True
INV002080,60.0,True
INV002083,46.5,True
INV002085,54.2,True
INV002087,70.6,True
INV002088,68.3,True
INV002090,53.6,True
INV002092,38.1,True
INV002093,36.6,True
INV002095,43.5,True
INV002096,63.8,True
INV002098,51.6,True
INV002099,71.3,True
INV002101,38.0,True
INV002102,46.9,True
INV002104,44.8,True
INV002107,55.3,True
INV002109,25.9,False
INV002110,46.3,True
INV002111,42.3,True
INV002112,49.1,True
INV002113,80.8,True
INV002114,48.7,True
INV002115,65.7,True
INV002116,30.1,False
INV002117,63.9,True
INV002119,47.4,True
INV002121,51.4,True
INV002122,45.1,True
INV002123,67.0,True
