amfi_code,scheme_name,cagr_3Y_pct,sharpe_ratio,alpha_pct,max_drawdown_pct,expense_ratio,rank_3yr,rank_sharpe,rank_alpha,rank_drawdown,rank_expense,composite_score
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.84,-0.74,5.67,-4.33,0.77,22.5,15.0,15.0,90.0,80.0,34.5
100025,HDFC Short Term Debt Fund - Regular - Growth,3.92,-1.04,4.48,-4.31,0.56,17.5,10.0,7.5,92.5,97.5,33.12
101208,ABSL Liquid Fund - Regular - Growth,6.31,-4.45,6.12,-0.16,0.79,25.0,2.5,17.5,95.0,75.0,32.38
120842,Kotak Emerging Equity Fund - Regular - Growth,7.75,-0.13,7.47,-24.0,1.56,32.5,30.0,30.0,20.0,20.0,28.25
119599,SBI Small Cap Fund - Direct Plan - Growth,-1.34,-0.24,5.15,-52.57,0.72,7.5,25.0,12.5,2.5,88.75,24.56
119092,Axis Bluechip Fund - Regular - Growth,0.53,-0.18,7.28,-14.4,1.64,12.5,27.500000000000004,27.500000000000004,65.0,3.75,23.19
101207,ABSL Small Cap Fund - Regular - Growth,-4.15,-0.05,10.99,-35.45,1.53,5.0,35.0,35.0,7.5,31.25,22.69
119095,Axis Small Cap Fund - Regular - Growth,-11.7,-0.26,6.8,-51.68,1.38,2.5,22.5,25.0,5.0,60.0,20.88
102886,UTI Mid Cap Fund - Regular - Growth,-0.77,-0.37,3.19,-28.0,1.51,10.0,20.0,2.5,15.0,41.25,16.19
100016,HDFC Top 100 Fund - Regular Plan - Growth,1.29,-0.38,3.77,-24.73,1.55,15.0,17.5,5.0,17.5,22.5,15.0
